IATA	lat	lon	ICAO	time_zone	name	city	country
'YQK'	49.78829956	-94.36309814	'CYQK'	'America/Winnipeg'	'Kenora Airport'	'Kenora'	'Canada'
'YQL'	49.63029861	-112.8000031	'CYQL'	'America/Edmonton'	'Lethbridge County Airport'	'Lethbridge'	'Canada'
'YQM'	46.11220169	-64.6785965	'CYQM'	'America/Halifax'	'Greater Moncton International Airport'	'Moncton'	'Canada'
'YQQ'	49.71080017	-124.887001	'CYQQ'	'America/Vancouver'	'Comox Airport'	'Comox'	'Canada'
'YQR'	50.43190002	-104.6660004	'CYQR'	'America/Regina'	'Regina International Airport'	'Regina'	'Canada'
'YQT'	48.37189865	-89.32389832	'CYQT'	'America/Toronto'	'Thunder Bay Airport'	'Thunder Bay'	'Canada'
'YQU'	55.17969894	-118.8850021	'CYQU'	'America/Edmonton'	'Grande Prairie Airport'	'Grande Prairie'	'Canada'
'YQV'	51.26470184	-102.461998	'CYQV'	'America/Regina'	'Yorkton Municipal Airport'	'Yorkton'	'Canada'
'YQW'	52.76919937	-108.2440033	'CYQW'	'America/Regina'	'North Battleford Airport'	'North Battleford'	'Canada'
'YQX'	48.93690109	-54.56809998	'CYQX'	'America/St_Johns'	'Gander International Airport'	'Gander'	'Canada'
'YQY'	46.16139984	-60.04779816	'CYQY'	'America/Halifax'	'Sydney / J.A. Douglas McCurdy Airport'	'Sydney'	'Canada'
'YQZ'	53.02610016	-122.5100021	'CYQZ'	'America/Vancouver'	'Quesnel Airport'	'Quesnel'	'Canada'
'YRB'	74.71690369	-94.9693985	'CYRB'	'America/Winnipeg'	'Resolute Bay Airport'	'Resolute'	'Canada'
'YRI'	47.76440048	-69.58470154	'CYRI'	'America/Toronto'	'Rivière-du-Loup Airport'	'Riviere Du Loup'	'Canada'
'YRJ'	48.52000046	-72.26560211	'CYRJ'	'America/Toronto'	'Roberval Airport'	'Roberval'	'Canada'
'YRM'	52.42969894	-114.9039993	'CYRM'	'America/Edmonton'	'Rocky Mountain House Airport'	'Rocky Mountain House'	'Canada'
'YRT'	62.81140137	-92.11579895	'CYRT'	'America/Winnipeg'	'Rankin Inlet Airport'	'Rankin Inlet'	'Canada'
'YSB'	46.625	-80.79889679	'CYSB'	'America/Toronto'	'Sudbury Airport'	'Sudbury'	'Canada'
'YSC'	45.43859863	-71.69139862	'CYSC'	'America/Toronto'	'Sherbrooke Airport'	'Sherbrooke'	'Canada'
'YSJ'	45.31610107	-65.89029694	'CYSJ'	'America/Halifax'	'Saint John Airport'	'St. John'	'Canada'
'YSM'	60.02030182	-111.961998	'CYSM'	'America/Edmonton'	'Fort Smith Airport'	'Fort Smith'	'Canada'
'YSR'	72.982201	-84.613602	'CYSR'	'America/Toronto'	'Nanisivik Airport'	'Nanisivik'	'Canada'
'YSU'	46.44060135	-63.83359909	'CYSU'	'America/Halifax'	'Summerside Airport'	'Summerside'	'Canada'
'YSY'	71.99389648	-125.2429962	'CYSY'	'America/Edmonton'	'Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport'	'Sachs Harbour'	'Canada'
'YTE'	64.23000336	-76.52670288	'CYTE'	'America/Toronto'	'Cape Dorset Airport'	'Cape Dorset'	'Canada'
'YTH'	55.80110168	-97.86419678	'CYTH'	'America/Winnipeg'	'Thompson Airport'	'Thompson'	'Canada'
'YTR'	44.1189003	-77.52809906	'CYTR'	'America/Toronto'	'CFB Trenton'	'Trenton'	'Canada'
'YTS'	48.56969833	-81.37670136	'CYTS'	'America/Toronto'	'Timmins/Victor M. Power'	'Timmins'	'Canada'
'YTZ'	43.627499	-79.396202	'CYTZ'	'America/Toronto'	'Billy Bishop Toronto City Centre Airport'	'Toronto'	'Canada'
'YUB'	69.4332962	-133.026001	'CYUB'	'America/Edmonton'	'Tuktoyaktuk Airport'	'Tuktoyaktuk'	'Canada'
'YUL'	45.47060013	-73.74079895	'CYUL'	'America/Toronto'	'Montreal / Pierre Elliott Trudeau International Airport'	'Montreal'	'Canada'
'YUT'	66.52140045	-86.22470093	'CYUT'	'America/Winnipeg'	'Repulse Bay Airport'	'Repulse Bay'	'Canada'
'YUX'	68.77610016	-81.2425	'CYUX'	'America/Toronto'	'Hall Beach Airport'	'Hall Beach'	'Canada'
