OACI	LATITUDE	LONGITUDE	ALTITUDE
SNT	17d14'2"S	42d44'2"W	882
SNTO	17d53'27"S	41d30'54"W	479
SNTQ	10d43'18"S	43d39'13"W	499
SNTR	11d44'17"S	40d34'11"W	585
SNTS	7d2'16"S	37d15'27"W	265
SNTY	13d22'48"S	44d37'19"W	667
SNUB	21d7'21"S	42d52'56"W	340
SNUC	5d35'42"S	36d57'39"W	111
SNUH	20d26'19"S	45d59'34"W	745
SNUI	16d51'7"S	42d2'46"W	360
SNUN	16d21'14"S	46d55'37"W	609
SNUT	12d6'20"S	41d4'28"W	598
SNUY	15d37'54"S	46d25'43"W	570
SNVB	13d17'47"S	38d59'33"W	5
SNVC	20d44'41"S	42d50'31"W	659
SNVD	13d24'17"S	44d13'23"W	465
SNVI	21d47'26"S	45d16'9"W	985
SNVS	1d38'11"S	50d26'36"W	30
SNVV	11d24'40"S	39d26'36"W	403
SNWC	2d53'48"S	40d51'25"W	18,1
SNWS	5d12'40"S	40d42'15"W	315
SNXA	21d40'41"S	45d50'28"W	905
SNXB	21d55'3"S	44d58'10"W	865
SNXQ	10d50'3"S	42d41'0"W	427
SNXW	0d12'1"S	49d58'2"W	6
SNYA	1d28'45"S	52d34'41"W	178
SNYB	19d0'7"S	49d29'14"W	605
SNYE	2d29'1"S	45d4'2"W	38
SNYT	13d49'43"S	41d18'8"W	535
SNYU	19d43'4"S	50d13'3"W	475
SNZA	22d17'20"S	45d55'10"W	885
SNZR	17d14'35"S	46d52'53"W	730
SNZW	13d43'54"S	39d8'26"W	7
SSAB	23d45'47"S	50d15'53"W	600
SSAE	32d13'45"S	53d3'21"W	49
SSAK	28d39'28"S	53d36'38"W	470
SSAN	23d1'37"S	50d13'42"W	490
SSAP	23d36'44"S	51d23'6"W	805
SSAQ	28d15'2"S	52d31'0"W	600
SSBD	29d23'47"S	52d59'30"W	440
SSBE	19d35'52"S	54d1'9"W	563
SSBJ	28d36'46"S	50d26'58"W	1071
SSBL	26d49'58"S	49d5'37"W	18
SSBN	30d11'16"S	51d10'58"W	6
SSBR	23d4'22"S	50d25'23"W	402
SSBV	22d4'56"S	56d32'18"W	235
